name,texto,cluster_textclass
Monastery Mentor,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)Whenever you cast a noncreature spell, create a 1/1 white Monk creature token with prowess.",52
Relief Captain,"When Relief Captain enters the battlefield, support 3. (Put a +1/+1 counter on each of up to three other target creatures.)",143
Restoration Angel,"FlashFlyingWhen Restoration Angel enters the battlefield, you may exile target non-Angel creature you control, then return that card to the battlefield under your control.",365
Reveillark,"FlyingWhen Reveillark leaves the battlefield, return up to two target creature cards with power 2 or less from your graveyard to the battlefield.Evoke {5}{W} (You may cast this spell for its evoke cost. If you do, it’s sacrificed when it enters the battlefield.)",483
Seeker of the Way,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)Whenever you cast a noncreature spell, Seeker of the Way gains lifelink until end of turn.",52
Sensor Splicer,"When Sensor Splicer enters the battlefield, create a 3/3 colorless Phyrexian Golem artifact creature token.Golem creatures you control have vigilance.",487
Wall of Omens,"DefenderWhen Wall of Omens enters the battlefield, draw a card.",529
Weathered Wayfarer,"{W}, {T}: Search your library for a land card, reveal it, put it into your hand, then shuffle. Activate only if an opponent controls more lands than you.",525
Wingsteed Rider,"FlyingHeroic — Whenever you cast a spell that targets Wingsteed Rider, put a +1/+1 counter on Wingsteed Rider.",283
Advanced Stitchwing,"Flying{2}{U}, Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped.",489
Aethersnipe,"When Aethersnipe enters the battlefield, return target nonland permanent to its owner’s hand.Evoke {1}{U}{U} (You may cast this spell for its evoke cost. If you do, it’s sacrificed when it enters the battlefield.)",285
Aven Initiate,"FlyingEmbalm {6}{U} ({6}{U}, Exile this card from your graveyard: Create a token that’s a copy of it, except it’s a white Zombie Bird Warrior with no mana cost. Embalm only as a sorcery.)",147
Consecrated Sphinx,"FlyingWhenever an opponent draws a card, you may draw two cards.",446
Deranged Assistant,"{T}, Mill a card: Add {C}. (To mill a card, put the top card of your library into your graveyard.)",337
Disciple of the Ring,"{1}, Exile an instant or sorcery card from your graveyard: Choose one —• Counter target noncreature spell unless its controller pays {2}.• Disciple of the Ring gets +1/+1 until end of turn.• Tap target creature.• Untap target creature.",127
Ingenious Skaab,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.){U}: Ingenious Skaab gets +1/-1 until end of turn.",52
Jeskai Elder,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)Whenever Jeskai Elder deals combat damage to a player, you may draw a card. If you do, discard a card.",52
Kederekt Leviathan,"When Kederekt Leviathan enters the battlefield, return all other nonland permanents to their owners’ hands.Unearth {6}{U} ({6}{U}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",72
Makeshift Mauler,"As an additional cost to cast this spell, exile a creature card from your graveyard.",149
Mistfire Adept,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)Whenever you cast a noncreature spell, target creature gains flying until end of turn.",52
Mulldrifter,"FlyingWhen Mulldrifter enters the battlefield, draw two cards.Evoke {2}{U} (You may cast this spell for its evoke cost. If you do, it’s sacrificed when it enters the battlefield.)",373
Nephalia Smuggler,"{3}{U}, {T}: Exile another target creature you control, then return that card to the battlefield under your control.",71
"Talrand, Sky Summoner","Whenever you cast an instant or sorcery spell, create a 2/2 blue Drake creature token with flying.",352
"Venser, Shaper Savant","FlashWhen Venser, Shaper Savant enters the battlefield, return target spell or permanent to its owner’s hand.",384
Balustrade Spy,"FlyingWhen Balustrade Spy enters the battlefield, target player reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.",1
Blood Artist,"Whenever Blood Artist or another creature dies, target opponent loses 1 life and you gain 1 life.",31
Bloodflow Connoisseur,Sacrifice a creature: Put a +1/+1 counter on Bloodflow Connoisseur.,162
Carrier Thrall,"When Carrier Thrall dies, create a 1/1 colorless Eldrazi Scion creature token. It has “Sacrifice this creature: Add {C}.”",473
Graveblade Marauder,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)Whenever Graveblade Marauder deals combat damage to a player, that player loses life equal to the number of creature cards in your graveyard.",250
Gravecrawler,Gravecrawler can’t block.You may cast Gravecrawler from your graveyard as long as you control a Zombie.,459
Liliana's Elite,Liliana’s Elite gets +1/+1 for each creature card in your graveyard.,375
Necrotic Ooze,"As long as Necrotic Ooze is on the battlefield, it has all activated abilities of all creature cards in all graveyards.",150
"Ob Nixilis, Unshackled","Flying, trampleWhenever an opponent searches their library, that player sacrifices a creature and loses 10 life.Whenever another creature dies, put a +1/+1 counter on Ob Nixilis, Unshackled.",79
Oona's Prowler,FlyingDiscard a card: Oona’s Prowler gets -2/-0 until end of turn. Any player may activate this ability.,280
Scion of Darkness,"TrampleWhenever Scion of Darkness deals combat damage to a player, you may put target creature card from that player’s graveyard onto the battlefield under your control.Cycling {3} ({3}, Discard this card: Draw a card.)",5
Seekers' Squire,"When Seekers’ Squire enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it’s a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)",501
Shadowborn Apostle,"A deck can have any number of cards named Shadowborn Apostle.{B}, Sacrifice six creatures named Shadowborn Apostle: Search your library for a Demon creature card, put it onto the battlefield, then shuffle.",295
Skeleton Archer,"When Skeleton Archer enters the battlefield, it deals 1 damage to any target.",514
Skinrender,"When Skinrender enters the battlefield, put three -1/-1 counters on target creature.",349
Vampire Sovereign,"FlyingWhen Vampire Sovereign enters the battlefield, target opponent loses 3 life and you gain 3 life.",265
"Yahenni, Undying Partisan","HasteWhenever a creature an opponent controls dies, put a +1/+1 counter on Yahenni, Undying Partisan.Sacrifice another creature: Yahenni gains indestructible until end of turn.",376
Abbot of Keral Keep,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)When Abbot of Keral Keep enters the battlefield, exile the top card of your library. Until end of turn, you may play that card.",52
"Alesha, Who Smiles at Death","First strikeWhenever Alesha, Who Smiles at Death attacks, you may pay {W/B}{W/B}. If you do, return target creature card with power 2 or less from your graveyard to the battlefield tapped and attacking.",8
Backdraft Hellkite,"FlyingWhenever Backdraft Hellkite attacks, each instant and sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost.",442
Bedlam Reveler,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.ProwessWhen Bedlam Reveler enters the battlefield, discard your hand, then draw three cards.",199
Dark-Dweller Oracle,"{1}, Sacrifice a creature: Exile the top card of your library. You may play that card this turn. (You still pay its costs. You can play a land this way only if you have an available land play remaining.)",304
Dockside Extortionist,"When Dockside Extortionist enters the battlefield, create X Treasure tokens, where X is the number of artifacts and enchantments your opponents control. (Treasure tokens are artifacts with “{T}, Sacrifice this artifact: Add one mana of any color.”)",9
Dreamshaper Shaman,"At the beginning of your end step, you may pay {2}{R} and sacrifice a nonland permanent. If you do, reveal cards from the top of your library until you reveal a nonland permanent card. Put that card onto the battlefield and the rest on the bottom of your library in a random order.",337
Goblin Banneret,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.){1}{R}: Goblin Banneret gets +2/+0 until end of turn.",135
Greater Gargadon,"Suspend 10—{R}Sacrifice an artifact, creature, or land: Remove a time counter from Greater Gargadon. Activate only if Greater Gargadon is suspended.",458
Hero of the Games,"Whenever you cast a spell that targets Hero of the Games, creatures you control get +1/+0 until end of turn.",97
Hissing Iguanar,"Whenever another creature dies, you may have Hissing Iguanar deal 1 damage to target player or planeswalker.",91
Kruin Striker,"Whenever another creature enters the battlefield under your control, Kruin Striker gets +1/+0 and gains trample until end of turn.",189
Labyrinth Champion,"Heroic — Whenever you cast a spell that targets Labyrinth Champion, Labyrinth Champion deals 2 damage to any target.",301
Living Lightning,"When Living Lightning dies, return target instant or sorcery card from your graveyard to your hand.",422
Monastery Swiftspear,"HasteProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",13
Purphoros's Emissary,"Bestow {6}{R} (If you cast this card for its bestow cost, it’s an Aura spell with enchant creature. It becomes a creature again if it’s not attached to a creature.)Menace (This creature can’t be blocked except by two or more creatures.)Enchanted creature gets +3/+3 and has menace.",423
